"Gene ID","Organism","Genomic Location (Gene)","Product Description","Gene Name or Symbol","Entrez Gene ID","UniProt ID(s)"
"AAEL019484","Aedes aegypti LVP_AGWG","AaegL5_3:64,096,797..64,382,039(+)","unspecified product","N/A","5564521","Q16G86,Q16G87"
"AAEL019485","Aedes aegypti LVP_AGWG","AaegL5_3:50,436,953..50,648,621(+)","unspecified product","N/A","5571230","Q16XB2"
"AAEL019486","Aedes aegypti LVP_AGWG","AaegL5_3:198,268,876..198,411,077(-)","unspecified product","N/A","5570798","N/A"
"AAEL019487","Aedes aegypti LVP_AGWG","AaegL5_2:399,797,542..399,810,034(+)","unspecified product","N/A","5564019","A0A0P6IV18,Q16GS6,Q16JQ7"
"AAEL019488","Aedes aegypti LVP_AGWG","AaegL5_2:204,281,283..204,335,511(-)","unspecified product","N/A","5575919","Q16MW9,Q16MX0"
"AAEL019489","Aedes aegypti LVP_AGWG","AaegL5_2:320,771,920..321,009,157(-)","unspecified product","N/A","5565277","Q16FQ8,Q16Y20,Q16Y21"
"AAEL019490","Aedes aegypti LVP_AGWG","AaegL5_3:22,466,746..22,467,369(+)","unspecified product","N/A","110678011","N/A"
"AAEL019491","Aedes aegypti LVP_AGWG","AaegL5_3:22,324,420..22,600,364(+)","unspecified product","N/A","5572235","A0A1S4FN05,A0A2L0VBF9,A0A2L0VBI0,Q16V73"
"AAEL019492","Aedes aegypti LVP_AGWG","NIGP01001914:40,937..41,956(+)","unspecified product","N/A","110681263","N/A"
"AAEL019493","Aedes aegypti LVP_AGWG","NIGP01001914:40,717..55,779(+)","unspecified product","N/A","110681264","Q16P56"
"AAEL019494","Aedes aegypti LVP_AGWG","AaegL5_2:418,786,521..418,788,158(-)","unspecified product","N/A","5571546","Q16WQ2"
"AAEL019495","Aedes aegypti LVP_AGWG","AaegL5_2:418,526,388..419,058,148(-)","unspecified product","N/A","5571525","N/A"
"AAEL019496","Aedes aegypti LVP_AGWG","AaegL5_3:107,285,278..107,302,946(+)","unspecified product","N/A","5575021","Q16PP9,Q16PQ1"
"AAEL019497","Aedes aegypti LVP_AGWG","AaegL5_2:324,898,725..324,899,195(-)","unspecified product","N/A","110675195","N/A"
"AAEL019498","Aedes aegypti LVP_AGWG","AaegL5_2:324,880,895..324,881,619(-)","unspecified product","N/A","5571954","Q16VT6"
"AAEL019499","Aedes aegypti LVP_AGWG","AaegL5_1:184,772,367..185,181,287(-)","unspecified product","N/A","5568344","A0A1S4EXN1,Q17MC0"
"AAEL019500","Aedes aegypti LVP_AGWG","AaegL5_3:92,715,884..92,948,827(+)","unspecified product","N/A","5579293","N/A"
"AAEL019501","Aedes aegypti LVP_AGWG","AaegL5_3:67,683,357..68,428,409(+)","unspecified product","N/A","5567517","A0A1S4G5H7"
"AAEL019502","Aedes aegypti LVP_AGWG","AaegL5_3:205,491,920..205,740,426(+)","unspecified product","N/A","5564774","N/A"
"AAEL019503","Aedes aegypti LVP_AGWG","AaegL5_3:371,543,119..372,031,754(-)","unspecified product","N/A","5571245","N/A"
"AAEL019504","Aedes aegypti LVP_AGWG","AaegL5_3:368,519,630..368,521,442(+)","unspecified product","N/A","N/A","Q16FW3,Q174S7"
"AAEL019505","Aedes aegypti LVP_AGWG","AaegL5_1:210,694,122..211,391,218(-)","unspecified product","N/A","5568718","Q173N1"
"AAEL019506","Aedes aegypti LVP_AGWG","AaegL5_1:211,174,758..211,311,380(-)","unspecified product","N/A","5568719","A0A0P6IXC1,Q173N0"
"AAEL019507","Aedes aegypti LVP_AGWG","AaegL5_3:287,882,493..288,674,410(+)","unspecified product","N/A","5575390","G8EP30"
"AAEL019508","Aedes aegypti LVP_AGWG","AaegL5_3:102,061,320..102,186,624(-)","unspecified product","N/A","5563584","Q0C734"
"AAEL019509","Aedes aegypti LVP_AGWG","AaegL5_3:201,606,013..201,640,204(+)","unspecified product","N/A","5580158","Q16Q57,Q16Q58,Q16Q59"
"AAEL019510","Aedes aegypti LVP_AGWG","AaegL5_3:280,512,274..280,514,990(-)","unspecified product","N/A","110679586","N/A"
"AAEL019511","Aedes aegypti LVP_AGWG","AaegL5_3:280,502,536..280,559,759(-)","unspecified product","N/A","5571002","N/A"
"AAEL019512","Aedes aegypti LVP_AGWG","AaegL5_3:187,826,471..187,935,488(-)","unspecified product","N/A","5579140","N/A"
"AAEL019513","Aedes aegypti LVP_AGWG","AaegL5_1:270,825,576..271,466,929(+)","unspecified product","N/A","5576390","N/A"
"AAEL019514","Aedes aegypti LVP_AGWG","AaegL5_1:161,613,011..161,707,704(-)","unspecified product","N/A","5576866","N/A"
"AAEL019515","Aedes aegypti LVP_AGWG","AaegL5_3:230,958,503..231,067,220(+)","unspecified product","N/A","5567935","N/A"
"AAEL019516","Aedes aegypti LVP_AGWG","AaegL5_2:323,980,385..324,247,353(-)","unspecified product","N/A","5577734","Q16FE4,Q16IK0,Q16IK1,Q16JD5"
"AAEL019517","Aedes aegypti LVP_AGWG","AaegL5_3:373,995,503..374,040,797(-)","unspecified product","N/A","5574201","A0A0P6K0R2,Q17IL7"
"AAEL019518","Aedes aegypti LVP_AGWG","AaegL5_3:202,555,243..202,652,832(+)","unspecified product","N/A","5572484","A0A0N8ERX7,A0A0P6JRS5,A0A1S4FNV7,Q16NG4,Q16UQ9,Q16UR0,Q16UR1"
"AAEL019519","Aedes aegypti LVP_AGWG","AaegL5_3:174,781,772..174,859,529(+)","unspecified product","N/A","5567165","N/A"
"AAEL019520","Aedes aegypti LVP_AGWG","AaegL5_1:42,402,836..42,403,586(-)","unspecified product","N/A","5569414,5569414","Q16SE8"
"AAEL019521","Aedes aegypti LVP_AGWG","AaegL5_1:42,362,341..42,914,462(-)","unspecified product","N/A","5566555","N/A"
"AAEL019522","Aedes aegypti LVP_AGWG","AaegL5_1:141,733,371..141,966,587(+)","unspecified product","N/A","5572105","Q16N00,Q16VM6"
"AAEL019523","Aedes aegypti LVP_AGWG","AaegL5_2:437,113,865..437,236,696(-)","unspecified product","N/A","5566981","N/A"
"AAEL019524","Aedes aegypti LVP_AGWG","AaegL5_2:298,357,328..298,444,982(+)","unspecified product","N/A","5571673","Q17KJ5"
"AAEL019525","Aedes aegypti LVP_AGWG","AaegL5_1:305,070,906..305,122,522(-)","unspecified product","N/A","5576127","N/A"
"AAEL019526","Aedes aegypti LVP_AGWG","AaegL5_2:161,719,791..161,720,730(-)","unspecified product","N/A","110676173","Q1HQI6"
"AAEL019527","Aedes aegypti LVP_AGWG","AaegL5_2:161,677,689..161,821,194(-)","unspecified product","N/A","5572908","Q16TT9"
"AAEL019528","Aedes aegypti LVP_AGWG","AaegL5_2:134,901,907..135,632,797(+)","unspecified product","N/A","5577718","N/A"
"AAEL019529","Aedes aegypti LVP_AGWG","AaegL5_2:13,871,316..13,889,243(+)","unspecified product","N/A","5575759","Q17HE5,Q1DGX2"
"AAEL019530","Aedes aegypti LVP_AGWG","AaegL5_3:361,436,236..361,928,348(-)","unspecified product","N/A","5568519","N/A"
"AAEL019531","Aedes aegypti LVP_AGWG","AaegL5_3:59,678,828..59,873,210(+)","unspecified product","N/A","5566562","N/A"
"AAEL019532","Aedes aegypti LVP_AGWG","AaegL5_2:245,764,989..245,910,776(+)","unspecified product","N/A","5567173","N/A"
"AAEL019533","Aedes aegypti LVP_AGWG","AaegL5_1:80,947,202..81,027,364(-)","unspecified product","N/A","5571312","N/A"
"AAEL019534","Aedes aegypti LVP_AGWG","AaegL5_1:206,920,656..207,038,089(+)","unspecified product","N/A","5572571","A0A1S4FNQ3,Q16UG6,Q16UG7,Q16UG8,Q17K45"
"AAEL019535","Aedes aegypti LVP_AGWG","AaegL5_2:293,180,901..293,197,582(-)","unspecified product","N/A","5564490","N/A"
"AAEL019536","Aedes aegypti LVP_AGWG","AaegL5_1:267,632,855..267,708,910(-)","unspecified product","N/A","5568916","N/A"
"AAEL019537","Aedes aegypti LVP_AGWG","AaegL5_2:179,312,754..179,327,941(-)","unspecified product","N/A","5577270","A0A0P6J5X1,Q16K42,Q16K43,Q16K44"
"AAEL019538","Aedes aegypti LVP_AGWG","AaegL5_2:137,486,121..137,904,526(-)","unspecified product","N/A","5567324","Q177X7"
"AAEL019539","Aedes aegypti LVP_AGWG","AaegL5_1:23,895,750..24,071,981(+)","unspecified product","N/A","5566787","Q16ED4,Q16ED5,Q16ED6"
"AAEL019540","Aedes aegypti LVP_AGWG","AaegL5_3:205,990,188..206,052,831(+)","unspecified product","N/A","5577031","N/A"
"AAEL019541","Aedes aegypti LVP_AGWG","AaegL5_2:301,914,621..302,101,227(-)","unspecified product","N/A","5567456","N/A"
"AAEL019542","Aedes aegypti LVP_AGWG","AaegL5_2:48,235,997..48,663,990(-)","unspecified product","N/A","5570478","N/A"
"AAEL019543","Aedes aegypti LVP_AGWG","AaegL5_3:317,920,401..318,296,327(+)","unspecified product","N/A","5576206","Q16M72"
"AAEL019544","Aedes aegypti LVP_AGWG","AaegL5_3:372,492,454..372,500,351(-)","unspecified product","N/A","5573269","Q1HQE9"
"AAEL019545","Aedes aegypti LVP_AGWG","AaegL5_3:372,492,971..372,500,396(-)","unspecified product","N/A","5576073","Q16MI0"
"AAEL019546","Aedes aegypti LVP_AGWG","AaegL5_2:21,164,368..21,458,287(-)","unspecified product","N/A","5571289","N/A"
"AAEL019547","Aedes aegypti LVP_AGWG","AaegL5_3:297,329,912..297,337,808(+)","unspecified product","N/A","5577092","Q16JU5,Q16KH7"
"AAEL019548","Aedes aegypti LVP_AGWG","AaegL5_1:81,944,161..81,948,569(-)","unspecified product","N/A","5570454","N/A"
"AAEL019549","Aedes aegypti LVP_AGWG","AaegL5_1:81,814,461..81,980,614(-)","unspecified product","N/A","5570456","N/A"
"AAEL019550","Aedes aegypti LVP_AGWG","AaegL5_2:263,559,362..263,973,990(-)","unspecified product","N/A","5570893","N/A"
"AAEL019551","Aedes aegypti LVP_AGWG","AaegL5_2:176,358,272..176,703,516(+)","unspecified product","N/A","5566023","J9EAS4,Q17B33"
"AAEL019552","Aedes aegypti LVP_AGWG","AaegL5_2:335,711,582..335,728,831(-)","unspecified product","N/A","5577190","Q16KA4"
"AAEL019553","Aedes aegypti LVP_AGWG","AaegL5_2:295,887,555..296,354,244(-)","unspecified product","N/A","5566516","N/A"
"AAEL019554","Aedes aegypti LVP_AGWG","AaegL5_2:429,171,920..429,202,663(-)","unspecified product","N/A","5573926","Q17IX1,Q17IX2"
"AAEL019555","Aedes aegypti LVP_AGWG","AaegL5_3:65,559,484..65,603,356(+)","unspecified product","N/A","5578745","A0A1S4F5I0,Q17EV9"
"AAEL019556","Aedes aegypti LVP_AGWG","AaegL5_3:235,558,464..235,665,094(+)","unspecified product","N/A","5566444","Q17A66"
"AAEL019557","Aedes aegypti LVP_AGWG","AaegL5_1:291,136,643..291,138,992(-)","unspecified product","N/A","110674177","Q17FX1"
"AAEL019558","Aedes aegypti LVP_AGWG","AaegL5_1:291,136,131..291,136,933(-)","unspecified product","N/A","5577651","Q17FX1"
"AAEL019559","Aedes aegypti LVP_AGWG","AaegL5_2:426,403,035..426,550,985(-)","unspecified product","N/A","5573175","Q17JH0,Q17JH1"
"AAEL019560","Aedes aegypti LVP_AGWG","AaegL5_1:203,815,706..203,888,632(+)","unspecified product","N/A","5578982","A0A0P6JSF5,Q17EK8,Q17EK9,Q17EL0"
"AAEL019561","Aedes aegypti LVP_AGWG","AaegL5_3:409,094,188..409,149,522(+)","unspecified product","N/A","5573215","N/A"
"AAEL019562","Aedes aegypti LVP_AGWG","AaegL5_3:25,910,109..26,024,998(+)","unspecified product","N/A","5563780","Q0IFW5"
"AAEL019563","Aedes aegypti LVP_AGWG","AaegL5_1:295,023,038..295,278,987(-)","unspecified product","N/A","5565942","N/A"
"AAEL019564","Aedes aegypti LVP_AGWG","AaegL5_3:62,870,921..62,900,008(-)","unspecified product","N/A","5567672","Q176U8,Q176U9"
"AAEL019565","Aedes aegypti LVP_AGWG","AaegL5_2:307,390,038..307,516,656(-)","unspecified product","N/A","5568842","A0A0N8ERW9,Q17M21,Q17M22,Q17M23"
"AAEL019566","Aedes aegypti LVP_AGWG","AaegL5_3:121,455,946..121,646,621(+)","unspecified product","N/A","5575304","N/A"
"AAEL019567","Aedes aegypti LVP_AGWG","AaegL5_3:143,117,155..143,575,816(+)","unspecified product","N/A","5568502","N/A"
"AAEL019568","Aedes aegypti LVP_AGWG","AaegL5_2:453,369,647..453,398,010(+)","unspecified product","N/A","5564925","N/A"
"AAEL019569","Aedes aegypti LVP_AGWG","AaegL5_3:281,626,507..281,686,719(-)","unspecified product","N/A","5575087","A0A1S4FTW8,Q16PI4,Q16PI5"
"AAEL019570","Aedes aegypti LVP_AGWG","AaegL5_3:403,823,146..403,903,850(-)","unspecified product","N/A","5564120","N/A"
"AAEL019571","Aedes aegypti LVP_AGWG","AaegL5_2:244,141,695..244,279,165(+)","unspecified product","N/A","110675169","Q17HL3"
"AAEL019572","Aedes aegypti LVP_AGWG","AaegL5_2:243,628,881..244,547,058(+)","unspecified product","N/A","5575443","Q17HL3"
"AAEL019573","Aedes aegypti LVP_AGWG","AaegL5_3:57,033,587..57,642,986(-)","unspecified product","N/A","5579882","Q17MH2,Q17MH3"
"AAEL019574","Aedes aegypti LVP_AGWG","AaegL5_2:446,201,899..446,248,717(+)","unspecified product","N/A","5573450","Q16SS8"
"AAEL019575","Aedes aegypti LVP_AGWG","AaegL5_1:292,282,258..292,309,951(+)","unspecified product","N/A","5577632","Q17FZ0"
"AAEL019576","Aedes aegypti LVP_AGWG","AaegL5_2:130,292,274..130,471,315(+)","unspecified product","N/A","5564736","N/A"
"AAEL019577","Aedes aegypti LVP_AGWG","AaegL5_3:177,415,048..177,647,927(+)","unspecified product","N/A","5573590","Q17J74"
"AAEL019578","Aedes aegypti LVP_AGWG","AaegL5_2:459,139,421..459,247,916(+)","unspecified product","N/A","5565895","N/A"
"AAEL019579","Aedes aegypti LVP_AGWG","AaegL5_3:130,090,025..131,184,447(-)","unspecified product","N/A","5573800","A0A1S4F2Y1,A0A1S4FR81,Q16S29,Q17H65"
"AAEL019580","Aedes aegypti LVP_AGWG","AaegL5_3:245,187,463..245,516,346(+)","unspecified product","N/A","5566589","N/A"
"AAEL019581","Aedes aegypti LVP_AGWG","AaegL5_2:34,555,440..34,742,806(+)","unspecified product","N/A","5565102","N/A"
"AAEL019582","Aedes aegypti LVP_AGWG","AaegL5_2:55,261,557..55,287,329(-)","unspecified product","N/A","5566268","A0A1S4EWQ3,Q17NC8"
"AAEL019583","Aedes aegypti LVP_AGWG","AaegL5_2:380,641,058..380,700,298(+)","unspecified product","N/A","5572940","A0A0P6K0N0,Q16TR2"
"AAEL019584","Aedes aegypti LVP_AGWG","AaegL5_3:398,212,430..398,227,728(-)","unspecified product","N/A","5576316","N/A"
"AAEL019585","Aedes aegypti LVP_AGWG","AaegL5_3:398,187,519..398,189,285(-)","unspecified product","N/A","110679657","A0A0P6K146,Q0IGG4,Q17GD8"
"AAEL019586","Aedes aegypti LVP_AGWG","AaegL5_1:70,056,445..70,471,626(-)","unspecified product","N/A","5565116","N/A"
"AAEL019587","Aedes aegypti LVP_AGWG","AaegL5_3:147,001,375..147,151,084(+)","unspecified product","N/A","5575719","N/A"
"AAEL019588","Aedes aegypti LVP_AGWG","AaegL5_2:427,124,492..427,607,960(+)","unspecified product","N/A","5578840","N/A"
"AAEL019589","Aedes aegypti LVP_AGWG","AaegL5_3:26,826,668..26,890,297(+)","unspecified product","N/A","5578562","N/A"
"AAEL019590","Aedes aegypti LVP_AGWG","AaegL5_1:290,784,474..290,805,807(+)","unspecified product","N/A","5577665","J9HS98,Q16L41"
"AAEL019591","Aedes aegypti LVP_AGWG","AaegL5_2:242,240,489..242,287,303(-)","unspecified product","N/A","5568644","N/A"
"AAEL019592","Aedes aegypti LVP_AGWG","AaegL5_2:16,609,961..16,827,569(-)","unspecified product","N/A","5575737","N/A"
"AAEL019593","Aedes aegypti LVP_AGWG","AaegL5_2:16,798,811..16,801,606(-)","unspecified product","N/A","5575734,5575734","Q16N97"
"AAEL019594","Aedes aegypti LVP_AGWG","AaegL5_3:407,030,300..407,090,194(-)","unspecified product","N/A","5568599","N/A"
"AAEL019595","Aedes aegypti LVP_AGWG","AaegL5_3:210,340,895..210,523,883(+)","unspecified product","N/A","5564087","Q16GQ0,Q16GQ1,Q16V61"
"AAEL019596","Aedes aegypti LVP_AGWG","AaegL5_2:271,872,866..272,537,931(-)","unspecified product","N/A","5569675","N/A"
"AAEL019597","Aedes aegypti LVP_AGWG","AaegL5_2:18,821,735..18,873,733(-)","unspecified product","N/A","5576631","A0A0P6J4J0,Q16LG8,Q16YP6"
"AAEL019598","Aedes aegypti LVP_AGWG","AaegL5_3:266,562,510..266,585,893(-)","unspecified product","N/A","5573730","A0A0P6JRM8,A0A1S4EVH3,Q17E20,Q17PR5"
"AAEL019599","Aedes aegypti LVP_AGWG","AaegL5_2:354,607,309..354,769,022(-)","unspecified product","N/A","5563777","N/A"
"AAEL019600","Aedes aegypti LVP_AGWG","AaegL5_2:258,654,376..258,657,491(-)","unspecified product","N/A","5566429","Q17A71,Q17A72"
"AAEL019601","Aedes aegypti LVP_AGWG","AaegL5_1:202,439,737..202,640,686(+)","unspecified product","N/A","5564080","N/A"
"AAEL019602","Aedes aegypti LVP_AGWG","AaegL5_2:259,459,536..259,476,969(+)","unspecified product","N/A","5577161","Q16KC7,Q16KC8"
"AAEL019603","Aedes aegypti LVP_AGWG","AaegL5_2:240,837,377..240,839,772(-)","unspecified product","N/A","5571141","N/A"
"AAEL019604","Aedes aegypti LVP_AGWG","AaegL5_2:136,168,392..136,332,685(+)","unspecified product","N/A","5573673","N/A"
"AAEL019605","Aedes aegypti LVP_AGWG","AaegL5_2:349,302,827..349,670,334(+)","unspecified product","N/A","5577563","N/A"
"AAEL019606","Aedes aegypti LVP_AGWG","AaegL5_2:370,424,758..370,464,527(+)","unspecified product","N/A","5566381","A0A1S4FAD7,Q17AC5"
"AAEL019607","Aedes aegypti LVP_AGWG","AaegL5_1:248,541,556..248,832,162(-)","PBAN receptor [Source:UniProtKB/TrEMBL;Acc:V9P4J1]","N/A","5578924,5578924","A0A1S4F5I7,A0A411JKC4,Q0IG03,Q0IG04,V9P4J1"
"AAEL019608","Aedes aegypti LVP_AGWG","AaegL5_2:156,426,029..156,937,854(-)","G-protein coupled receptor [Source:UniProtKB/TrEMBL;Acc:A0A411JKB1]","N/A","23687733","A0A1S4FJS5,A0A1S4G6C1,A0A411JKB1,J9HYD8,Q16YF4"
"AAEL019609","Aedes aegypti LVP_AGWG","AaegL5_2:291,666,088..291,700,549(-)","unspecified product","N/A","5569188","A0A0P6J095,Q172C6"
"AAEL019610","Aedes aegypti LVP_AGWG","AaegL5_3:193,688,138..193,932,285(-)","unspecified product","N/A","5574432","Q16QW6,Q16QW7"
"AAEL019611","Aedes aegypti LVP_AGWG","AaegL5_2:298,571,327..298,983,223(+)","unspecified product","N/A","5571668","N/A"
"AAEL019612","Aedes aegypti LVP_AGWG","AaegL5_1:159,592,005..159,611,871(-)","unspecified product","N/A","5572779","Q16U19"
"AAEL019613","Aedes aegypti LVP_AGWG","AaegL5_1:159,624,936..159,626,014(-)","unspecified product","N/A","110678887","N/A"
"AAEL019614","Aedes aegypti LVP_AGWG","AaegL5_2:151,345,473..151,355,916(+)","unspecified product","N/A","110676121","N/A"
"AAEL019615","Aedes aegypti LVP_AGWG","AaegL5_2:151,368,032..151,376,250(+)","unspecified product","N/A","5574154","Q16RG1"
"AAEL019616","Aedes aegypti LVP_AGWG","AaegL5_2:441,878,659..441,930,690(+)","unspecified product","N/A","5572063","N/A"
"AAEL019617","Aedes aegypti LVP_AGWG","AaegL5_2:21,751,861..22,048,398(+)","unspecified product","N/A","5571277","N/A"
"AAEL019618","Aedes aegypti LVP_AGWG","AaegL5_2:63,500,484..63,614,508(-)","unspecified product","N/A","5566332","A0A1S4FA77,Q17AE8,Q17AE9,Q17AF0"
"AAEL019619","Aedes aegypti LVP_AGWG","AaegL5_1:161,792,846..161,961,758(+)","unspecified product","N/A","5576869","Q17EX3"
"AAEL019620","Aedes aegypti LVP_AGWG","AaegL5_1:76,392,673..76,393,763(-)","unspecified product","N/A","110675386","N/A"
"AAEL019621","Aedes aegypti LVP_AGWG","AaegL5_1:76,402,618..76,421,119(-)","unspecified product","N/A","5576026","N/A"
"AAEL019622","Aedes aegypti LVP_AGWG","AaegL5_3:195,446,874..195,487,767(-)","unspecified product","N/A","5578296","N/A"
"AAEL019623","Aedes aegypti LVP_AGWG","AaegL5_3:190,109,165..190,389,441(-)","unspecified product","N/A","5574166","Q16RE8"
"AAEL019624","Aedes aegypti LVP_AGWG","AaegL5_3:101,723,398..101,740,167(+)","unspecified product","N/A","5563576","A0A1S4EUP9,Q0C725"
"AAEL019625","Aedes aegypti LVP_AGWG","AaegL5_3:101,473,240..101,724,034(+)","unspecified product","N/A","110677849","N/A"
"AAEL019626","Aedes aegypti LVP_AGWG","AaegL5_1:37,744,647..38,215,329(-)","unspecified product","N/A","5563768","Q16H82"
"AAEL019627","Aedes aegypti LVP_AGWG","AaegL5_3:342,877,863..342,984,320(-)","unspecified product","N/A","5579118","N/A"
"AAEL019628","Aedes aegypti LVP_AGWG","AaegL5_3:84,498,881..84,510,580(+)","unspecified product","N/A","5579166","Q17EA5,Q17EA6"
"AAEL019629","Aedes aegypti LVP_AGWG","AaegL5_3:310,667,812..310,694,375(-)","unspecified product","N/A","5576819","Q16KB7,Q16L15"
"AAEL019630","Aedes aegypti LVP_AGWG","AaegL5_3:404,051,999..404,105,971(-)","unspecified product","N/A","5566712","N/A"
"AAEL019631","Aedes aegypti LVP_AGWG","AaegL5_3:370,399,940..370,845,358(-)","unspecified product","N/A","5568458","N/A"
"AAEL019632","Aedes aegypti LVP_AGWG","AaegL5_2:146,758,436..147,142,913(-)","unspecified product","N/A","5564260","N/A"
"AAEL019633","Aedes aegypti LVP_AGWG","AaegL5_2:172,394,614..172,398,567(-)","unspecified product","N/A","5575060","Q16GG3,Q16GG4,Q16PK4"
"AAEL019634","Aedes aegypti LVP_AGWG","AaegL5_2:276,190,359..276,335,777(-)","unspecified product","N/A","5572659","Q17JY7"
"AAEL019635","Aedes aegypti LVP_AGWG","AaegL5_2:316,712,375..316,712,916(+)","Histone H3 [Source:UniProtKB/TrEMBL;Acc:Q16N56]","N/A","5575810,5578462,5578466,5578783,5578786,5579067,5579070,5579085","Q16N56"
"AAEL019636","Aedes aegypti LVP_AGWG","AaegL5_2:316,715,231..316,715,715(+)","Histone H2B [Source:UniProtKB/TrEMBL;Acc:Q17ES2]","N/A","110676734,5578778","Q17ES2"
"AAEL019637","Aedes aegypti LVP_AGWG","AaegL5_2:316,709,850..316,710,473(+)","unspecified product","N/A","5578781","Q17ER9"
"AAEL019638","Aedes aegypti LVP_AGWG","AaegL5_2:290,617,842..291,194,596(+)","unspecified product","N/A","5569176","J9HST3,Q172E0,Q172E1"
"AAEL019639","Aedes aegypti LVP_AGWG","AaegL5_1:247,385,526..247,556,459(-)","unspecified product","N/A","5566459","A0A1S4FAK7,Q17A60,Q17A62"
"AAEL019640","Aedes aegypti LVP_AGWG","AaegL5_2:257,937,303..258,228,047(-)","unspecified product","N/A","5566421","N/A"
"AAEL019641","Aedes aegypti LVP_AGWG","AaegL5_2:270,847,147..271,027,814(-)","unspecified product","N/A","5577780","N/A"
"AAEL019642","Aedes aegypti LVP_AGWG","AaegL5_3:290,357,527..290,366,790(+)","unspecified product","N/A","5565824","Q16EW1"
"AAEL019643","Aedes aegypti LVP_AGWG","AaegL5_3:290,357,515..290,366,787(+)","unspecified product","N/A","5565824,5576254","Q16EW2"
"AAEL019644","Aedes aegypti LVP_AGWG","AaegL5_2:78,706,388..78,731,922(-)","unspecified product","N/A","5574805","Q17I36"
"AAEL019645","Aedes aegypti LVP_AGWG","AaegL5_2:78,694,083..78,700,963(-)","unspecified product","N/A","110675681","N/A"
"AAEL019646","Aedes aegypti LVP_AGWG","AaegL5_2:218,144,899..218,366,597(+)","unspecified product","N/A","5575624","N/A"
"AAEL019647","Aedes aegypti LVP_AGWG","AaegL5_3:84,398,357..84,400,355(-)","unspecified product","N/A","5577444","Q16JX1"
"AAEL019648","Aedes aegypti LVP_AGWG","AaegL5_3:84,341,818..84,435,094(-)","unspecified product","N/A","5577449","Q16JW5"
"AAEL019649","Aedes aegypti LVP_AGWG","AaegL5_2:431,859,991..431,896,767(-)","unspecified product","N/A","5569881","Q170A4"
"AAEL019650","Aedes aegypti LVP_AGWG","AaegL5_2:431,897,403..431,909,914(-)","unspecified product","N/A","110674010","N/A"
"AAEL019651","Aedes aegypti LVP_AGWG","AaegL5_2:225,660,482..225,838,207(+)","unspecified product","N/A","5564742","N/A"
"AAEL019652","Aedes aegypti LVP_AGWG","AaegL5_2:347,668,611..348,269,401(-)","unspecified product","N/A","5575208","A0A0P6J5B4,A0A0P6K0X4,A0A1S4FU11,Q16PE0,Q179U0,Q179U1"
"AAEL019653","Aedes aegypti LVP_AGWG","AaegL5_2:313,601,249..314,237,699(+)","unspecified product","N/A","5563749","Q16H97,Q16ZC4,Q16ZC5,Q16ZC8"
"AAEL019654","Aedes aegypti LVP_AGWG","AaegL5_3:331,525,081..332,170,554(+)","unspecified product","N/A","5567245","N/A"
"AAEL019655","Aedes aegypti LVP_AGWG","AaegL5_3:331,813,645..331,814,990(+)","unspecified product","N/A","110679681","Q17MS6"
"AAEL019656","Aedes aegypti LVP_AGWG","AaegL5_1:39,863,288..39,957,352(+)","unspecified product","N/A","5579456","N/A"
"AAEL019657","Aedes aegypti LVP_AGWG","AaegL5_2:230,788,638..230,811,776(+)","unspecified product","N/A","5569980","A0A1S4FIH7,Q16ZU3"
"AAEL019658","Aedes aegypti LVP_AGWG","AaegL5_2:251,905,545..252,015,285(-)","unspecified product","N/A","5576948","A0A0P6J5D2,A0A1S4FXK5,Q16KQ8,Q16KQ9,Q16KR0,Q16KR1"
"AAEL019659","Aedes aegypti LVP_AGWG","AaegL5_3:164,959,868..164,968,558(-)","unspecified product","N/A","5563986","Q17DZ0"
"AAEL019660","Aedes aegypti LVP_AGWG","AaegL5_3:164,260,877..165,218,582(-)","unspecified product","N/A","110679012","Q16IY3"
"AAEL019661","Aedes aegypti LVP_AGWG","AaegL5_3:403,981,324..404,036,722(-)","unspecified product","N/A","5566714","Q179K4,Q179K7,Q179K8,Q179K9"
"AAEL019662","Aedes aegypti LVP_AGWG","AaegL5_2:306,356,808..306,713,793(+)","unspecified product","N/A","5573805","A0A0P6IUV7,Q16G59"
"AAEL019663","Aedes aegypti LVP_AGWG","AaegL5_1:295,448,617..295,463,485(-)","unspecified product","N/A","110674192","N/A"
"AAEL019664","Aedes aegypti LVP_AGWG","AaegL5_1:295,439,274..295,441,823(-)","unspecified product","N/A","5565939","Q16SD5,Q17B66"
"AAEL019665","Aedes aegypti LVP_AGWG","AaegL5_1:180,887,812..180,889,771(+)","unspecified product","N/A","110679553","N/A"
"AAEL019666","Aedes aegypti LVP_AGWG","AaegL5_1:180,802,639..180,915,841(+)","unspecified product","N/A","5566198","A0A1S4FA30,Q17AN5"
"AAEL019667","Aedes aegypti LVP_AGWG","AaegL5_2:210,974,893..211,731,229(-)","unspecified product","N/A","23687899","J9HGC6,Q0IG58,Q16GR7"
"AAEL019668","Aedes aegypti LVP_AGWG","AaegL5_2:68,959,543..69,050,520(+)","unspecified product","N/A","5574425","N/A"
"AAEL019669","Aedes aegypti LVP_AGWG","AaegL5_2:205,532,740..205,536,180(-)","unspecified product","N/A","5570335","Q17LF0"
